"method","subsample","event_date","mean_car","se","boot_se","lo","hi","n","metric"
"SC","Cash merger",138,-0.184087769893908,0.00368630555925488,0.0328723174291073,-0.257034539789901,-0.120014575950723,9261,"log"
"SC","Cash merger",139,-0.185250350295991,0.00369241538511874,0.0328991131006739,-0.258150366346198,-0.12181674189751,9261,"log"
"SC","Cash merger",140,-0.186890751123517,0.00371050251260003,0.0332190872167624,-0.260232207890303,-0.122101077525744,9261,"log"
"SC","Cash merger",141,-0.188670550526066,0.00373537308598199,0.0336459391809464,-0.262448990666522,-0.12287684985582,9261,"log"
"SC","Cash merger",142,-0.190283412373737,0.00375350346544626,0.0339610380161107,-0.264022841795033,-0.12355134269558,9261,"log"
"SC","Cash merger",143,-0.192048744481673,0.00376805514018651,0.0343142174821345,-0.266223133941719,-0.124675985543479,9261,"log"
"SC","Cash merger",144,-0.192920101305292,0.00378988762984629,0.0344351905804049,-0.266879741063218,-0.124843190973108,9261,"log"
"SC","Cash merger",145,-0.194111339880551,0.00380533912573657,0.0345941286118718,-0.268276121822922,-0.126579257711957,9261,"log"
"SC","Cash merger",146,-0.195480285392354,0.00381617434113882,0.0348107610947459,-0.270606165373135,-0.128148014167166,9261,"log"
"SC","Cash merger",147,-0.19682459794978,0.00383039941708409,0.034996804464793,-0.272464588277725,-0.129346877625772,9261,"log"
"SC","Cash merger",148,-0.198128725402219,0.00385005175786244,0.0352082557088257,-0.274082401201949,-0.130855692572792,9261,"log"
"SC","Cash merger",149,-0.200194796086756,0.00387262600991246,0.0355313229224422,-0.27629082207246,-0.132000299200052,9261,"log"
"SC","Cash merger",150,-0.200377061866686,0.00386980616862928,0.0354115116080142,-0.276326977712137,-0.13287152169633,9261,"log"
"SC","Cash merger",151,-0.201962397161407,0.00389189829634086,0.0357151022577126,-0.278364940336904,-0.13451540981617,9261,"log"
"SC","Cash merger",152,-0.203450667605445,0.00391056627753128,0.0358671398458681,-0.280590781969832,-0.135532782733922,9261,"log"
