"design","subsample","event_date","mean_car","boot_se","lo","hi","n"
"Gsynth","Stock merger",11,-0.00121713072519398,0.00176473497356852,-0.00484061930192032,0.00222368647014713,5592
"Gsynth","Stock merger",12,-0.00115748698424857,0.00181957704514918,-0.00484377994955595,0.00240171929931716,5592
"Gsynth","Stock merger",13,-0.00181002864833673,0.00172704952484905,-0.00539379709178399,0.00172814554277986,5592
"Gsynth","Stock merger",14,-0.0016726368333116,0.0018710657698009,-0.00534992559744582,0.00202277279664208,5592
"Gsynth","Stock merger",15,-0.00240789891898089,0.00170057306673685,-0.00562908667114741,0.00104554946942879,5592
"Gsynth","Stock merger",16,-0.00277590944251431,0.00188789736443036,-0.00629573701232711,0.00105856433984208,5592
"Gsynth","Stock merger",17,-0.00185817289601072,0.00214391750841655,-0.00573133627491913,0.00262773242988366,5592
"Gsynth","Stock merger",18,-0.00252531898905846,0.00208836994413292,-0.00635544954022757,0.0016041282130938,5592
"Gsynth","Stock merger",19,-0.00327407137433175,0.00201764111587883,-0.00701580114951685,0.000692596501245952,5592
"Gsynth","Stock merger",20,-0.00245979983032775,0.0023419047523324,-0.00697415521161226,0.00192021730671526,5592
"Gsynth","Stock merger",21,-0.00233786545609225,0.00268374542425102,-0.00749662919798682,0.0023491160339687,5592
"Gsynth","Stock merger",22,-0.00259950189471823,0.00284336189984707,-0.00812245891310729,0.00250486551309093,5592
"Gsynth","Stock merger",23,-0.00257369859710776,0.00278216297659756,-0.00829203841748328,0.00220850208237418,5592
"Gsynth","Stock merger",24,-0.00315814364138983,0.00301237599180774,-0.00937073790700966,0.00186923782431416,5592
"Gsynth","Stock merger",25,-0.00233039329297295,0.00334099078891703,-0.00866857142323957,0.00378507467488288,5592
"Gsynth","Stock merger",26,-0.00204884519414491,0.00323013575006628,-0.00822434800772936,0.00382517851910473,5592
"Gsynth","Stock merger",27,-0.00321342199256174,0.00327767400456971,-0.00953625959883079,0.00288910291072182,5592
