"method","subsample","event_date","mean_car","boot_se","lo","hi","n"
"APM","Cash merger",192,-0.0998842482724289,0.0476085990560892,-0.195258351426594,-0.00433768415298648,5676
"APM","Cash merger",193,-0.10069616616786,0.047639978101964,-0.196721094948382,-0.00594080004852037,5676
"APM","Cash merger",194,-0.101687632963748,0.0479443330651266,-0.197926442109455,-0.00622851002705067,5676
"APM","Cash merger",195,-0.102243787942639,0.0479564633108645,-0.198545425415092,-0.00644301870472215,5676
"APM","Cash merger",196,-0.10308291205358,0.0482175894980731,-0.199781005485724,-0.00671091729031109,5676
"APM","Cash merger",197,-0.103704896284396,0.0485524404738815,-0.201158187412488,-0.00679215632606066,5676
"APM","Cash merger",198,-0.10411852160313,0.0489045016451184,-0.202790563407499,-0.00668804651952858,5676
"APM","Cash merger",199,-0.104148284411442,0.0492549254414466,-0.203796999018387,-0.00578800072313394,5676
"APM","Cash merger",200,-0.104434819234552,0.0496071039271828,-0.20522121235032,-0.00532738826677049,5676
"APM","Cash merger",201,-0.105288256384038,0.0499354881278215,-0.207694088010807,-0.0055690472353383,5676
"APM","Cash merger",202,-0.105814286423022,0.0502461148548294,-0.208978936905888,-0.00544419687353067,5676
"APM","Cash merger",203,-0.105252565006743,0.0505848038220816,-0.209750481542662,-0.00417340960294568,5676
"APM","Cash merger",204,-0.106201436032262,0.0508325927397502,-0.212085883382759,-0.0048325953360119,5676
"APM","Cash merger",205,-0.106818604025743,0.0511029653700799,-0.213479000555203,-0.00533081176603471,5676
"APM","Cash merger",206,-0.107318457784724,0.0513415977958898,-0.21473871086432,-0.00528727520936402,5676
"APM","Cash merger",207,-0.107836484073711,0.0515789554140927,-0.216369069220527,-0.00530758638500976,5676
"APM","Cash merger",208,-0.108952983649714,0.0517880547250966,-0.216907522352553,-0.00600367896609751,5676
"APM","Cash merger",209,-0.109756915882111,0.052033957023915,-0.218163030686401,-0.00661481444282978,5676
"APM","Cash merger",210,-0.110046079649464,0.0522208946181317,-0.218696696058947,-0.00643410041491232,5676
"APM","Cash merger",211,-0.110412512424115,0.0526611638097555,-0.220372676112908,-0.00539457889757014,5676
"APM","Cash merger",212,-0.110796847035875,0.0527764709618897,-0.221784064704995,-0.00546112783065161,5676
"APM","Cash merger",213,-0.112115235919548,0.053181351290278,-0.224411052264325,-0.00616029547293232,5676
"APM","Cash merger",214,-0.112282092687448,0.0532572600055215,-0.224847354054073,-0.00552577156945529,5676
"APM","Cash merger",215,-0.112809153890071,0.0534368351229605,-0.225497913356369,-0.00603264168322996,5676
"APM","Cash merger",216,-0.113795614624945,0.0536891526392617,-0.227685720161413,-0.00586755350599516,5676
"APM","Cash merger",217,-0.114395369176866,0.0539829373549457,-0.229109339949434,-0.00585473921438916,5676
"APM","Cash merger",218,-0.116232631672259,0.0541688825811355,-0.231503680879899,-0.00788606438543555,5676
"APM","Cash merger",219,-0.11683348260044,0.0542849525190494,-0.231944252743024,-0.00866339519540495,5676
"APM","Cash merger",220,-0.117157993083409,0.0546510078099148,-0.232893796590264,-0.00757085899348947,5676
"APM","Cash merger",221,-0.116596733107473,0.0550187981445228,-0.233122928659019,-0.00609983394803811,5676
"APM","Cash merger",222,-0.117117176198335,0.055255610302557,-0.234218821626692,-0.00545309364517929,5676
"APM","Cash merger",223,-0.117025473453603,0.0555948621856841,-0.235024326892353,-0.00502218245398134,5676
"APM","Cash merger",224,-0.116775416263418,0.0560922150177436,-0.235005694250685,-0.00422203942817102,5676
"APM","Cash merger",225,-0.117819533507769,0.0561751330139378,-0.236785261039125,-0.00466685514486879,5676
"APM","Cash merger",226,-0.11851985315312,0.0564744900610444,-0.238083345193593,-0.00480670351139384,5676
"APM","Cash merger",227,-0.119260465148454,0.0566782224727477,-0.239140892179889,-0.00590238777750367,5676
"APM","Cash merger",228,-0.120579083290263,0.056955703519713,-0.241390905984973,-0.00661825032391878,5676
"APM","Cash merger",229,-0.121739977607167,0.057166801767286,-0.242429525836426,-0.0067822891823722,5676
"APM","Cash merger",230,-0.124164018835137,0.056869280703435,-0.242995238835046,-0.0105164128612778,5676
"APM","Cash merger",231,-0.123836044718413,0.0573494853185654,-0.244030719983859,-0.00830024760419198,5676
"APM","Cash merger",232,-0.124154032172578,0.0576647675929963,-0.245314034334628,-0.00773693591178151,5676
"APM","Cash merger",233,-0.124111020495275,0.0578791992982469,-0.246145813934893,-0.00770663051122515,5676
"APM","Cash merger",234,-0.12524281089835,0.0577693544149553,-0.247131077595723,-0.00924462862474016,5676
"APM","Cash merger",235,-0.125777885195506,0.0579135537852881,-0.248989462934134,-0.00951350997203184,5676
"APM","Cash merger",236,-0.126265819880698,0.0581271853442591,-0.248989508677675,-0.00912141375831453,5676
"APM","Cash merger",237,-0.126677411485287,0.0582158949595996,-0.249344982772151,-0.00892501161822564,5676
"APM","Cash merger",238,-0.128050055229572,0.0584150852981084,-0.250572693034936,-0.00981838474714355,5676
"APM","Cash merger",239,-0.128030147168788,0.0587100686546112,-0.251549705399337,-0.00768780986777409,5676
"APM","Cash merger",240,-0.129099693436632,0.0586850228789919,-0.252122763302736,-0.00883364469698079,5676
"APM","Cash merger",241,-0.12906102444646,0.0591543734893533,-0.252766065092072,-0.00778637110210172,5676
"APM","Cash merger",242,-0.129336619067872,0.0593103430126145,-0.253177931454713,-0.00785419905896057,5676
"APM","Cash merger",243,-0.129548172673167,0.0595347755129808,-0.25352799196189,-0.00814674641178805,5676
"APM","Cash merger",244,-0.130870511368798,0.0594508121925487,-0.254656704853349,-0.01124635177151,5676
"APM","Cash merger",245,-0.131094210858315,0.059746304488509,-0.254935470423713,-0.0111355859499407,5676
"APM","Cash merger",246,-0.131642612619761,0.0599784894750894,-0.256201109377782,-0.0112754460995144,5676
"APM","Cash merger",247,-0.132413939744887,0.0599903086190669,-0.257225297852293,-0.0127132248679589,5676
"APM","Cash merger",248,-0.132598299159239,0.0602298416800195,-0.257944785770013,-0.0122178614161662,5676
"APM","Cash merger",249,-0.134091185501301,0.0601474471765221,-0.258513361194497,-0.0145417216748211,5676
"APM","Cash merger",250,-0.134951341466995,0.060288212925427,-0.258896563455749,-0.0159303463278365,5676
"APM","Stock merger",-1,0.00276827690359736,0.00102465692699387,0.000958978816095652,0.00490001397988032,1255
"APM","Stock merger",0,0.00974001685471175,0.00429437386087988,0.0031104248217549,0.019554983591195,1255
"APM","Stock merger",1,0.0105873194477612,0.00453245032429578,0.00298407893178043,0.0200717229285173,1255
"APM","Stock merger",2,0.0107179431194101,0.00419494497596448,0.00328682170335793,0.0192680489940681,1255
"APM","Stock merger",3,0.00303511986549065,0.0046603474518984,-0.00457155950663422,0.0129524358585902,1255
"APM","Stock merger",4,0.00143301844931987,0.00552965886522395,-0.00728099696689948,0.0130614166780432,1255
"APM","Stock merger",5,0.00194026782586788,0.00574386784641726,-0.00806615011307816,0.0139089120861575,1255
"APM","Stock merger",6,0.00175858010316366,0.00623286504772472,-0.00823960833440536,0.0157411299216775,1255
"APM","Stock merger",7,-3.83979839638484e-05,0.00701326650968344,-0.0113490274218375,0.0151716283268757,1255
"APM","Stock merger",8,-0.00179970733259446,0.00726686796910953,-0.0139889146194278,0.0133265423947437,1255
"APM","Stock merger",9,-0.000919237071217192,0.00648973620128568,-0.0121341632730338,0.013170719832952,1255
"APM","Stock merger",10,-0.00247720838669336,0.00722474745385448,-0.0150908297951937,0.0129942731537072,1255
"APM","Stock merger",11,-0.00387646172012344,0.00815377072523421,-0.0180213084950056,0.0132946193799327,1255
"APM","Stock merger",12,-0.00324673091689027,0.00782375198272822,-0.0170954169486706,0.0134777752712453,1255
"APM","Stock merger",13,-0.00482729308745852,0.00773828590422639,-0.0185167385186528,0.0114805372336355,1255
"APM","Stock merger",14,-0.00289845793120462,0.00741262153322255,-0.0160268366451413,0.0128344398092091,1255
"APM","Stock merger",15,-0.00509567802906574,0.00712877295036931,-0.0177446994145849,0.00964772026045926,1255
